Source,Target,Mol1_ID,Mol2_ID,Mol1_Activity,Mol2_Activity,Tanimoto_Similarity,Activity_Difference,Activity_Similarity,SALI,Type
158,1,158,1,5.153178525,9.242442703,0.48,4.089264178,0.5910735822000409,7.8639695730618,Other
311,304,311,304,6.415805838,1.941937278,0.428571429,4.47386856,0.5526131440000448,7.829269985858251,Other
172,29,172,29,1.946565265,4.953814713,0.615384615,3.0072494479999996,0.6992750552000302,7.8188485569608215,Activity Cliff
29,172,29,172,4.953814713,1.946565265,0.615384615,3.0072494479999996,0.6992750552000302,7.8188485569608215,Activity Cliff
218,59,218,59,6.799673285,2.570525704,0.458333333,4.229147580999999,0.5770852419000423,7.807657067796258,Other
199,133,199,133,7.844851726,4.917931835,0.625,2.926919891,0.7073080109000294,7.805119709312519,Activity Cliff
133,199,133,199,4.917931835,7.844851726,0.625,2.926919891,0.7073080109000294,7.805119709312519,Activity Cliff
230,247,230,247,0.295161102,3.513761289,0.586206897,3.218600187,0.6781399813000322,7.778283793657676,Activity Cliff
247,230,247,230,3.513761289,0.295161102,0.586206897,3.218600187,0.6781399813000322,7.778283793657676,Activity Cliff
15,231,15,231,6.219315557,2.338607345,0.5,3.880708212,0.6119291788000388,7.761416423984477,Other
94,114,94,114,1.255067827,4.665639194,0.558823529,3.4105713669999997,0.6589428633000342,7.73062842463389,Other
97,227,97,227,5.798465449,1.790480949,0.481481481,4.0079845,0.59920155000004,7.7296843856646715,Other
227,97,227,97,1.790480949,5.798465449,0.481481481,4.0079845,0.59920155000004,7.7296843856646715,Other
125,167,125,167,6.788711387,2.926725075,0.5,3.8619863120000004,0.6138013688000385,7.723972623984554,Other
307,191,307,191,0.656214401,5.063669454,0.428571429,4.4074550530000005,0.559254494700044,7.713046348521289,Other
305,261,305,261,3.124234298,6.514400802,0.56,3.3901665039999997,0.6609833496000339,7.704923872709762,Other
125,138,125,138,6.788711387,2.941672815,0.5,3.847038572,0.6152961428000385,7.694077143984613,Other
200,37,200,37,0.797920995,3.974664579,0.586206897,3.176743584,0.6823256416000318,7.677130336298338,Activity Cliff
37,200,37,200,3.974664579,0.797920995,0.586206897,3.176743584,0.6823256416000318,7.677130336298338,Activity Cliff
225,169,225,169,7.122262926,3.458716394,0.52173913,3.6635465320000002,0.6336453468000366,7.660142741747491,Other
169,225,169,225,3.458716394,7.122262926,0.52173913,3.6635465320000002,0.6336453468000366,7.660142741747491,Other
253,276,253,276,3.860561815,6.325376145,0.677419355,2.46481433,0.7535185670000246,7.640924426796774,Other
276,253,276,253,6.325376145,3.860561815,0.677419355,2.46481433,0.7535185670000246,7.640924426796774,Other
190,131,190,131,4.298532476,0.987782903,0.565217391,3.310749573,0.6689250427000331,7.61472401255218,Other
131,190,131,190,0.987782903,4.298532476,0.565217391,3.310749573,0.6689250427000331,7.61472401255218,Other
32,1,32,1,5.150112625,9.242442703,0.458333333,4.092330078,0.5907669922000409,7.555070908567547,Other
1,32,1,32,9.242442703,5.150112625,0.458333333,4.092330078,0.5907669922000409,7.555070908567547,Other
208,13,208,13,6.797522325,3.39023531,0.548387097,3.407287015,0.6592712985000341,7.544706965541362,Other
13,208,13,208,3.39023531,6.797522325,0.548387097,3.407287015,0.6592712985000341,7.544706965541362,Other
302,67,302,67,4.675189619,8.599205097,0.47826087,3.9240154780000003,0.6075984522000393,7.521029672419776,Other
85,205,85,205,8.68698047,5.680705599,0.6,3.0062748709999996,0.6993725129000301,7.51568717748121,Activity Cliff
205,85,205,85,5.680705599,8.68698047,0.6,3.0062748709999996,0.6993725129000301,7.51568717748121,Activity Cliff
90,120,90,120,4.485648707,7.217553802,0.636363636,2.731905095,0.7268094905000273,7.512739003716602,Activity Cliff
212,79,212,79,8.881820379,5.007991608,0.482758621,3.8738287710000003,0.6126171229000388,7.489402295079163,Other
226,261,226,261,3.794130063,6.514400802,0.636363636,2.720270739,0.7279729261000272,7.480744524748684,Activity Cliff
261,226,261,226,6.514400802,3.794130063,0.636363636,2.720270739,0.7279729261000272,7.480744524748684,Activity Cliff
118,50,118,50,6.83319616,3.095879083,0.5,3.737317077,0.6262682923000373,7.474634153985051,Other
230,77,230,77,0.295161102,3.377222551,0.586206897,3.0820614490000002,0.6917938551000308,7.448315176467675,Activity Cliff
288,308,288,308,2.661541876,5.556996105,0.608695652,2.895454229,0.710454577100029,7.399494137470203,Activity Cliff
308,288,308,288,5.556996105,2.661541876,0.608695652,2.895454229,0.710454577100029,7.399494137470203,Activity Cliff
33,101,33,101,3.970139821,8.405303476,0.4,4.435163655,0.5564836345000443,7.391939424987681,Other
162,107,162,107,1.137114149,4.969222324,0.481481481,3.832108175,0.6167891825000383,7.390494330623145,Other
281,207,281,207,0.28970954,3.60509377,0.548387097,3.31538423,0.6684615770000332,7.341207941511491,Other
201,21,201,21,4.554140764,8.217643063,0.5,3.663502299000001,0.6336497701000365,7.327004597985348,Other
64,155,64,155,3.396343677,7.725106636,0.409090909,4.328762959,0.5671237041000433,7.325598852552895,Other
65,199,65,199,4.444907192,7.844851726,0.535714286,3.3999445340000003,0.660005546600034,7.322957462336818,Other
196,322,196,322,8.494602903,5.35790144,0.571428571,3.1367014630000005,0.6863298537000313,7.3189700729972875,Other
95,114,95,114,1.217269556,4.665639194,0.527777778,3.448369638,0.6551630362000345,7.3024298250680335,Other
7,120,7,120,4.426375328,7.217553802,0.617647059,2.7911784740000005,0.7208821526000279,7.300005243042452,Activity Cliff
319,78,319,78,8.464021324,5.507909594,0.59375,2.956111730000001,0.7043888270000295,7.276582719982091,Activity Cliff
212,149,212,149,8.881820379,5.12220919,0.482758621,3.759611189,0.6240388811000376,7.268581636413764,Other
